"","city","lat","lng","country"
"380","Quito",-0.22,-78.5125,"Ecuador"
"381","Minsk",53.9022,27.5618,"Belarus"
"382","Indore",22.7206,75.8472,"India"
"383","Yinchuan",38.4795,106.2254,"China"
"384","Kananga",-5.8961,22.4167,"Congo (Kinshasa)"
"385","Peshawar",34,71.5,"Pakistan"
"386","Sapporo",43.0621,141.3544,"Japan"
"387","Eşfahān",32.6447,51.6675,"Iran"
"388","Caracas",10.5,-66.9333,"Venezuela"
"389","Pingxiang",27.6333,113.85,"China"
"390","Aleppo",36.2,37.15,"Syria"
"391","Tijuana",32.525,-117.0333,"Mexico"
"392","Almaty",43.25,76.9,"Kazakhstan"
"393","Vienna",48.2083,16.3725,"Austria"
"394","Thāne",19.18,72.9633,"India"
"395","Sacramento",38.5667,-121.4683,"United States"
"396","Blantyre",-15.7861,35.0058,"Malawi"
"397","Tainan",22.9833,120.1833,"Taiwan"
"398","Zhuhai",22.2769,113.5678,"China"
"399","Bucharest",44.4,26.0833,"Romania"
"400","Curitiba",-25.4297,-49.2719,"Brazil"
"401","Multan",30.1978,71.4711,"Pakistan"
"402","Xiping",40.082,113.2981,"China"
"403","Ecatepec",19.6097,-99.06,"Mexico"
"404","Jixi",45.2937,130.965,"China"
"405","Saidu Sharif",34.75,72.3572,"Pakistan"
"406","Liaoyang",41.2643,123.1772,"China"
"407","Hamburg",53.55,10,"Germany"
"408","Meru",0.05,37.65,"Kenya"
"409","Brazzaville",-4.2667,15.2833,"Congo (Brazzaville)"
"410","Orlando",28.4772,-81.3369,"United States"
"411","Fuxin",42.0127,121.6486,"China"
"412","Wuwei",37.9278,102.6329,"China"
"413","Manaus",-3.1,-60.0167,"Brazil"
"414","Bhopāl",23.25,77.4167,"India"
"415","San Jose",37.3019,-121.8486,"United States"
"416","Warsaw",52.23,21.0111,"Poland"
"417","Lubumbashi",-11.6697,27.4581,"Congo (Kinshasa)"
"418","Davao",7.0667,125.6,"Philippines"
"419","Haikou",20.02,110.32,"China"
"420","Damascus",33.5131,36.2919,"Syria"
"421","Shuyangzha",34.1299,118.7734,"China"
"422","Brussels",50.8353,4.3314,"Belgium"
"423","Lusaka",-15.4167,28.2833,"Zambia"
"424","Hyderabad City",25.3792,68.3683,"Pakistan"
"425","Budapest",47.4983,19.0408,"Hungary"
"426","Shuozhou",39.3408,112.4292,"China"
"427","Cleveland",41.4767,-81.6804,"United States"
"428","Benxi",41.292,123.761,"China"
"429","Baiyin",36.5448,104.1766,"China"
"430","Pittsburgh",40.4396,-79.9762,"United States"
"431","Patna",25.61,85.1414,"India"
"432","Mosul",36.3667,43.1167,"Iraq"
"433","Caloocan City",14.65,120.9667,"Philippines"
"434","Austin",30.3004,-97.7522,"United States"
"435","Sanzhou",30.82,108.4,"China"
"436","Beihai",21.4667,109.1,"China"
"437","Mecca",21.4225,39.8261,"Saudi Arabia"
